domain,url,sum_traffic,value,keywords,top_keyword,top_keyword_volume,top_keyword_best_position,top_keyword_best_position_kind,top_keyword_best_position_title,page_type,ur,referring_domains,status,traffic_diff,keywords_diff
lojafacil.com.br,https://lojafacil.com.br/blog/como-precificar-produto,276,3512,32,como precificar um produto,4100,5,organic,Tudo sobre Como precificar um produto,/Article/How_to,13,4,both,-4,19
financasclaras.blog.br,https://financasclaras.blog.br/margem-de-lucro,276,312,23,margem de lucro,3300,5,organic,Margem de lucro: 7 dicas praticas,,5,0,both,-29,29
vendamais.com.br,https://vendamais.com.br/blog/prazo-medio-de-recebimento-como-funciona,265,5870,27,prazo medio de recebimento como funciona,4794,9,organic,Prazo medio de recebimento como funciona - Vendamais,,16,6,both,-55,34
vendamais.com.br,https://vendamais.com.br/blog/whatsapp-business-catalogo-gratis,265,1631,27,whatsapp business catalogo gratis,440,1,organic,O que e Whatsapp business catalogo gratis e como usar,/Article/How_to,22,14,both,-20,26
infinitepay.io,https://infinitepay.io/tap-to-pay,261,37265,28,pagamento por aproximacao celular,2100,4,organic,Pagamento por aproximacao celular: passo a passo,,16,6,left,-28,-3
taxaja.com.br,https://taxaja.com.br/simulador,254,16539,45,simulador de taxas maquininha,3400,5,organic,O que e Simulador de taxas maquininha e como usar,,8,1,both,77,2
financasclaras.blog.br,https://financasclaras.blog.br/precificacao-guia,253,7607,12,precificacao,14800,11,organic,Tudo sobre Precificacao,,10,2,both,184,12
contazen.com.br,https://contazen.com.br/blog/cnae-mei-lista,252,5388,15,cnae mei lista,301,1,organic,Cnae mei lista: 7 dicas praticas,,27,25,both,167,11
infinitepay.io,https://infinitepay.io/materiais/recibo-online,250,671,28,recibo de pagamento modelo,3100,5,organic,Recibo de pagamento modelo - Infinitepay,/Document/Template,22,11,both,194,21
lojafacil.com.br,https://lojafacil.com.br/blog/como-calcular-custo-variavel,248,1144,9,como calcular custo variavel,970,3,organic,Como calcular custo variavel | Lojafacil,,14,3,both,46,11
contadorexpress.com.br,https://contadorexpress.com.br/blog/cfop-tabela-2026,243,3925,32,cfop tabela 2026,2880,5,organic,Cfop tabela 2026 - Contadorexpress,,11,2,both,163,5
vendamais.com.br,https://vendamais.com.br/blog/abandono-de-carrinho-gratis,241,510,37,abandono de carrinho gratis,2829,5,organic,O que e Abandono de carrinho gratis e como usar,/Article/How_to,19,6,both,211,26
contazen.com.br,https://contazen.com.br/blog/mei-aposentadoria,239,5899,30,mei aposentadoria,2870,4,organic,Mei aposentadoria - Contazen,,18,9,both,66,11
pagsfera.com.br,https://pagsfera.com.br/tap-to-pay,235,58730,21,tap to pay,2400,3,organic,Tap to pay | Pagsfera,,25,22,both,18,-6
vendamais.com.br,https://vendamais.com.br/materiais/planilha-vendas,235,2197,50,planilha de vendas,2900,5,organic,Tudo sobre Planilha de vendas,/Document/Template,13,3,left,23,28
vendamais.com.br,https://vendamais.com.br/blog/inventario-de-estoque-passo-a-passo,226,2494,61,inventario de estoque passo a passo,1449,4,organic,Inventario de estoque passo a passo: passo a passo,,18,7,both,110,18
nexopay.com.br,https://nexopay.com.br/blog/prazo-compensacao-boleto,221,1117,29,prazo compensacao boleto,992,3,organic,Prazo compensacao boleto - como fazer em 2026,/Article/How_to,20,11,both,194,-5
infinitepay.io,https://infinitepay.io/blog/nota-fiscal-mei,219,1378,20,como emitir nota fiscal mei,12000,14,organic,Como emitir nota fiscal mei - como fazer em 2026,/Article/How_to,12,1,both,123,27
giroloja.com.br,https://giroloja.com.br/blog/como-calcular-margem-de-lucro,218,526,46,como calcular margem de lucro,1700,3,organic,Como calcular margem de lucro - Giroloja,/Article/How_to,15,5,both,33,16
contadorexpress.com.br,https://contadorexpress.com.br/blog/precificacao-de-servicos,215,4351,24,precificacao de servicos,1200,4,organic,Precificacao de servicos: guia completo,,10,2,both,-39,33
financasclaras.blog.br,https://financasclaras.blog.br/como-definir-o-valor-do-meu-produto,215,2362,48,como definir o valor do meu produto,480,1,organic,Como definir o valor do meu produto: guia completo,,9,1,both,16,3
credlink.com.br,https://credlink.com.br/blog/linha-de-credito-rotativo,214,4138,21,linha de credito rotativo,3538,7,organic,Linha de credito rotativo | Credlink,/Article/How_to,13,3,both,175,-3
pagsfera.com.br,https://pagsfera.com.br/blog/chave-pix-aleatoria-simples,214,8608,13,chave pix aleatoria simples,743,3,organic,Chave pix aleatoria simples | Pagsfera,,24,24,both,4,4
giroloja.com.br,https://giroloja.com.br/blog/quanto-cobrar-por-frete-proprio,208,1576,43,quanto cobrar por frete proprio,880,2,organic,Quanto cobrar por frete proprio | Giroloja,,16,4,both,184,27
infinitepay.io,https://infinitepay.io/emprestimo,208,10022,44,emprestimo para empresa,6300,12,organic,Emprestimo para empresa: guia completo,,15,3,both,-2,4
nexopay.com.br,https://nexopay.com.br/checkout,202,9137,27,checkout transparente,2300,4,organic,Checkout transparente: 7 dicas praticas,,9,1,both,29,8
vendamais.com.br,https://vendamais.com.br/blog/nome-para-loja,197,1109,31,nome para loja,4300,8,organic,O que e Nome para loja e como usar,,14,3,both,2,-6
credlink.com.br,https://credlink.com.br/blog/taxa-antecipacao,184,5479,36,taxa de antecipacao,2600,4,organic,Taxa de antecipacao | Credlink,/Article/How_to,14,5,both,15,30
pagsfera.com.br,https://pagsfera.com.br/blog/segunda-via-boleto,182,2954,37,segunda via boleto,5482,7,organic,Segunda via boleto | Pagsfera,,18,6,both,93,-6
bancoquantum.com.br,https://bancoquantum.com.br/blog/segunda-via-boleto-simples,177,3415,32,segunda via boleto simples,1007,4,organic,Segunda via boleto simples: passo a passo,,20,5,both,144,8
financasclaras.blog.br,https://financasclaras.blog.br/quanto-cobrar-por-um-bolo,174,823,42,quanto cobrar por um bolo,2400,5,organic,Quanto cobrar por um bolo | Financasclaras,,10,2,both,97,1
bancoaurora.com.br,https://bancoaurora.com.br/blog/boleto-para-empresa,170,14214,36,boleto para empresa,1519,5,organic,Boleto para empresa | Bancoaurora,,21,10,both,126,6
bancoaurora.com.br,https://bancoaurora.com.br/blog/conta-corrente-ou-conta-pagamento,167,15503,11,conta corrente ou conta pagamento,2302,5,organic,Tudo sobre Conta corrente ou conta pagamento,,22,13,both,72,13
contazen.com.br,https://contazen.com.br/blog/irpj-o-que-e-o-que-e,163,1514,43,irpj o que e o que e,615,2,organic,Irpj o que e o que e: passo a passo,/Article/How_to,25,20,both,124,8
pagsfera.com.br,https://pagsfera.com.br/blog/prazo-compensacao-boleto-como-funciona,161,488,22,prazo compensacao boleto como funciona,1045,5,organic,Prazo compensacao boleto como funciona: 7 dicas praticas,,18,6,left,-19,10
infinitepay.io,https://infinitepay.io/materiais/gerador-de-codigo-de-barras,160,705,45,gerador de codigo de barras,3100,7,organic,Tudo sobre Gerador de codigo de barras,,24,20,both,-25,23
bancoaurora.com.br,https://bancoaurora.com.br/blog/domicilio-bancario,159,5545,36,domicilio bancario,1915,5,organic,Domicilio bancario: 7 dicas praticas,/Article/How_to,20,7,both,68,3
financasclaras.blog.br,https://financasclaras.blog.br/precificar-artesanato,158,793,29,como precificar produto artesanal,720,2,organic,O que e Como precificar produto artesanal e como usar,,10,1,both,10,-8
pagsfera.com.br,https://pagsfera.com.br/blog/melhor-maquininha,156,8243,47,qual a melhor maquininha,7300,11,organic,Qual a melhor maquininha - como fazer em 2026,,12,1,both,109,29
contazen.com.br,https://contazen.com.br/blog/mei-limite-de-faturamento-vale-a-pena,153,3986,15,mei limite de faturamento vale a pena,6610,13,organic,Tudo sobre Mei limite de faturamento vale a pena,,9,0,left,50,10
contadorexpress.com.br,https://contadorexpress.com.br/blog/mei-aposentadoria,151,5418,50,mei aposentadoria,2870,7,organic,Tudo sobre Mei aposentadoria,,15,6,left,132,9
contazen.com.br,https://contazen.com.br/blog/mei-paga-inss-simples,151,808,49,mei paga inss simples,950,4,organic,Mei paga inss simples - como fazer em 2026,/Article/How_to,18,6,left,86,-3
bancoquantum.com.br,https://bancoquantum.com.br/blog/pix-agendado-gratis,147,1983,30,pix agendado gratis,9090,13,organic,Pix agendado gratis | Bancoquantum,/Article/How_to,14,2,both,10,16
pagsfera.com.br,https://pagsfera.com.br/blog/cartao-de-credito-para-negativado-gratis,147,1572,16,cartao de credito para negativado gratis,279,1,organic,Cartao de credito para negativado gratis - como fazer em 2026,,22,21,left,78,3
giroloja.com.br,https://giroloja.com.br/blog/margem-de-lucro-ideal,143,96,37,margem de lucro,3300,8,organic,Margem de lucro: guia completo,/Article/How_to,12,1,both,99,25
infinitepay.io,https://infinitepay.io/blog/mei-vantagens,143,798,38,vantagens do mei,2900,8,organic,Vantagens do mei: guia completo,/Article/How_to,19,11,both,80,29
pagsfera.com.br,https://pagsfera.com.br/blog/maquininha-sem-mensalidade-vale-a-pena,141,424,50,maquininha sem mensalidade vale a pena,1705,5,organic,Maquininha sem mensalidade vale a pena - como fazer em 2026,,18,7,left,38,15
vendamais.com.br,https://vendamais.com.br/blog/precificacao-produtos,140,2353,19,precificacao de produtos,3900,8,organic,Precificacao de produtos: guia completo,,16,4,both,34,14
contadorexpress.com.br,https://contadorexpress.com.br/blog/irpj-o-que-e-como-funciona,140,3362,41,irpj o que e como funciona,1013,3,organic,Irpj o que e como funciona: guia completo,/Article/How_to,19,11,both,89,20
bancoquantum.com.br,https://bancoquantum.com.br/blog/como-sair-do-vermelho-passo-a-passo,140,1691,35,como sair do vermelho passo a passo,227,1,organic,Como sair do vermelho passo a passo - como fazer em 2026,,25,19,both,28,10
financasclaras.blog.br,https://financasclaras.blog.br/blog/reserva-de-emergencia-passo-a-passo,138,2264,33,reserva de emergencia passo a passo,954,4,organic,Reserva de emergencia passo a passo - Financasclaras,/Article/How_to,4,0,both,110,21
financasclaras.blog.br,https://financasclaras.blog.br/margem-de-contribuicao,136,1902,24,margem de contribuicao,2400,9,organic,Margem de contribuicao: passo a passo,,11,3,both,-3,2
credlink.com.br,https://credlink.com.br/blog/capital-de-giro-para-mei,135,2039,14,capital de giro para mei,1003,4,organic,Tudo sobre Capital de giro para mei,/Article/How_to,6,0,both,9,-2
lojafacil.com.br,https://lojafacil.com.br/blog/instagram-para-vendas-2026,133,1784,25,instagram para vendas 2026,644,3,organic,Instagram para vendas 2026 - como fazer em 2026,/Article/How_to,21,17,left,73,-8
lojafacil.com.br,https://lojafacil.com.br/blog/quanto-cobrar-por-corte-de-cabelo,129,250,56,quanto cobrar por corte de cabelo,2200,5,organic,Tudo sobre Quanto cobrar por corte de cabelo,,9,1,both,11,13
financasclaras.blog.br,https://financasclaras.blog.br/como-precificar-produto,122,751,28,como precificar um produto,4100,9,organic,Como precificar um produto: guia completo,,7,1,both,8,31
infinitepay.io,https://infinitepay.io/blog/taxas-cartao-credito,122,3079,38,taxa de cartao de credito,6400,9,organic,Taxa de cartao de credito: 7 dicas praticas,/Article/How_to,15,4,left,42,34
dinheirocerto.com.br,https://dinheirocerto.com.br/blog/como-sair-do-vermelho-como-funciona,121,4159,22,como sair do vermelho como funciona,3815,9,organic,Como sair do vermelho como funciona - como fazer em 2026,/Article/How_to,17,4,both,44,-5
contazen.com.br,https://contazen.com.br/blog/comissao-de-vendedor-como-calcular-passo-a-pas,120,2120,36,comissao de vendedor como calcular passo a passo,196,1,organic,Comissao de vendedor como calcular passo a passo: 7 dicas praticas,/Article/How_to,25,23,both,69,31
giroloja.com.br,https://giroloja.com.br/materiais/planilha-precificacao,119,2294,17,planilha de precificacao,590,3,organic,Planilha de precificacao: guia completo,/Document/Template,21,16,both,51,25
credlink.com.br,https://credlink.com.br/blog/renegociacao-de-divida-empresarial,117,5758,34,renegociacao de divida empresarial,566,3,organic,Renegociacao de divida empresarial: guia completo,/Article/How_to,20,12,both,1,29
taxaja.com.br,https://taxaja.com.br/blog/anuidade-cartao-simples,115,4160,35,anuidade cartao simples,302,2,organic,Anuidade cartao simples - Taxaja,/Article/How_to,9,2,left,41,24
financasclaras.blog.br,https://financasclaras.blog.br/blog/google-meu-negocio-como-criar-o-que-e,114,811,54,google meu negocio como criar o que e,3247,7,organic,O que e Google meu negocio como criar o que e e como usar,,3,0,both,43,18
contadorexpress.com.br,https://contadorexpress.com.br/blog/mei-pode-ter-funcionario-gratis,112,3563,30,mei pode ter funcionario gratis,1123,5,organic,Mei pode ter funcionario gratis - como fazer em 2026,/Article/How_to,16,4,left,41,-1
giroloja.com.br,https://giroloja.com.br/blog/quanto-cobrar-por-unha,111,180,13,quanto cobrar por unha,3100,11,organic,O que e Quanto cobrar por unha e como usar,,5,0,left,-24,22
nexopay.com.br,https://nexopay.com.br/blog/pix-agendado-simples,111,1650,31,pix agendado simples,357,3,organic,O que e Pix agendado simples e como usar,,21,13,both,79,16
financasclaras.blog.br,https://financasclaras.blog.br/blog/mei-pode-emitir-nota-para-pessoa-fisica-vale-a,109,4678,41,mei pode emitir nota para pessoa fisica vale a pena,975,5,organic,Tudo sobre Mei pode emitir nota para pessoa fisica vale a pena,,8,1,left,26,19
giroloja.com.br,https://giroloja.com.br/blog/preco-de-venda-formula,108,613,40,preco de venda formula,320,1,organic,Preco de venda formula: passo a passo,,18,10,both,-14,26
financasclaras.blog.br,https://financasclaras.blog.br/como-calcular-lucro-de-um-produto,105,411,33,como calcular lucro de um produto,1900,6,organic,Como calcular lucro de um produto - como fazer em 2026,,5,0,both,45,-1
infinitepay.io,https://infinitepay.io/blog/link-de-pagamento,101,24043,24,link de pagamento,8900,19,organic,Link de pagamento | Infinitepay,,10,1,both,5,21
giroloja.com.br,https://giroloja.com.br/blog/marketplace-ou-loja-propria-vale-a-pena,100,1945,46,marketplace ou loja propria vale a pena,2739,9,organic,Tudo sobre Marketplace ou loja propria vale a pena,/Article/How_to,11,2,left,-14,28
giroloja.com.br,https://giroloja.com.br/blog/descricao-de-produto-que-vende-passo-a-passo,100,3975,26,descricao de produto que vende passo a passo,763,4,organic,Tudo sobre Descricao de produto que vende passo a passo,/Article/How_to,12,3,left,41,1
infinitepay.io,https://infinitepay.io/link-de-pagamento,100,10000,39,criar link de pagamento,1600,7,organic,Tudo sobre Criar link de pagamento,,18,6,both,15,26
taxaja.com.br,https://taxaja.com.br/blog/maquininha-sem-mensalidade,99,622,24,maquininha sem mensalidade,6512,18,organic,Maquininha sem mensalidade: guia completo,/Article/How_to,4,0,both,-5,4
giroloja.com.br,https://giroloja.com.br/blog/fotografia-de-produto-simples,98,190,26,fotografia de produto simples,171,1,organic,Fotografia de produto simples: 7 dicas praticas,/Article/How_to,14,5,left,31,24
giroloja.com.br,https://giroloja.com.br/blog/frete-gratis-vale-a-pena-o-que-e,95,1201,24,frete gratis vale a pena o que e,7332,18,organic,Frete gratis vale a pena o que e: 7 dicas praticas,,4,0,both,51,21
giroloja.com.br,https://giroloja.com.br/blog/preco-de-custo,94,346,13,como calcular preco de custo,480,4,organic,Como calcular preco de custo | Giroloja,,9,1,both,-9,17
bancoquantum.com.br,https://bancoquantum.com.br/blog/reserva-de-emergencia-vale-a-pena,94,3308,23,reserva de emergencia vale a pena,1092,5,organic,O que e Reserva de emergencia vale a pena e como usar,/Article/How_to,17,4,left,77,-1
giroloja.com.br,https://giroloja.com.br/blog/quanto-cobrar-por-hora-de-trabalho,91,438,24,quanto cobrar por hora de trabalho,1600,5,organic,Quanto cobrar por hora de trabalho: guia completo,,8,1,left,61,5
pagsfera.com.br,https://pagsfera.com.br/blog/cartao-empresarial-simples,89,519,21,cartao empresarial simples,767,4,organic,Cartao empresarial simples: guia completo,,19,8,both,13,17
infinitepay.io,https://infinitepay.io/blog/split-de-pagamento,89,5282,44,split de pagamento,880,6,organic,Split de pagamento | Infinitepay,,22,10,both,-14,9
contazen.com.br,https://contazen.com.br/blog/nota-fiscal-de-servico-o-que-e,88,3214,48,nota fiscal de servico o que e,349,2,organic,Tudo sobre Nota fiscal de servico o que e,,21,13,both,15,1
contadorexpress.com.br,https://contadorexpress.com.br/blog/mei-atrasado-o-que-fazer-vale-a-pena,87,3140,30,mei atrasado o que fazer vale a pena,245,2,organic,Mei atrasado o que fazer vale a pena: guia completo,/Article/How_to,18,10,both,3,28
pagsfera.com.br,https://pagsfera.com.br/blog/segunda-via-boleto-o-que-e,86,1997,29,segunda via boleto o que e,440,4,organic,Tudo sobre Segunda via boleto o que e,/Article/How_to,18,5,left,65,34
taxaja.com.br,https://taxaja.com.br/blog/bandeira-do-cartao,86,1163,47,bandeira do cartao,2515,9,organic,Bandeira do cartao: 7 dicas praticas,/Article/How_to,4,0,both,34,2
contazen.com.br,https://contazen.com.br/blog/inventario-de-estoque-gratis,85,1472,51,inventario de estoque gratis,5293,13,organic,Inventario de estoque gratis: guia completo,,9,0,both,37,14
infinitepay.io,https://infinitepay.io/blog/gestao-financeira-pequena-empresa,84,1393,37,gestao financeira,4200,15,organic,Gestao financeira | Infinitepay,/Article/How_to,11,1,left,25,24
taxaja.com.br,https://taxaja.com.br/comparativo,82,2689,17,comparar taxas maquininha,1900,6,organic,Comparar taxas maquininha: passo a passo,,7,1,both,6,7
infinitepay.io,https://infinitepay.io/blog/vender-online,82,982,58,como vender online,5100,13,organic,Como vender online: 7 dicas praticas,,10,1,both,63,11
bancoquantum.com.br,https://bancoquantum.com.br/blog/limite-pix-noturno-passo-a-passo,81,1146,40,limite pix noturno passo a passo,382,3,organic,Limite pix noturno passo a passo - como fazer em 2026,,19,6,both,31,23
lojafacil.com.br,https://lojafacil.com.br/blog/como-dar-desconto-sem-perder-lucro,77,565,23,como dar desconto sem perder lucro,340,3,organic,Tudo sobre Como dar desconto sem perder lucro,,20,13,both,47,24
nexopay.com.br,https://nexopay.com.br/blog/pix-internacional-passo-a-passo,77,3504,30,pix internacional passo a passo,8418,18,organic,Pix internacional passo a passo | Nexopay,,5,0,both,32,-3
contazen.com.br,https://contazen.com.br/blog/mei-aposentadoria-como-funciona,74,245,8,mei aposentadoria como funciona,3476,13,organic,Mei aposentadoria como funciona - como fazer em 2026,,12,1,both,28,32
infinitepay.io,https://infinitepay.io/pix,74,993,32,pix cobranca,2400,9,organic,Pix cobranca - como fazer em 2026,,20,8,both,54,1
vendamais.com.br,https://vendamais.com.br/blog/custo-de-mercadoria-vendida,70,787,44,custo de mercadoria vendida,1100,6,organic,Custo de mercadoria vendida: guia completo,,17,6,both,51,-7
infinitepay.io,https://infinitepay.io/blog/pix-para-empresas,68,711,23,pix para empresas,3300,11,organic,Pix para empresas: 7 dicas praticas,/Article/How_to,11,1,both,-7,14
bancoaurora.com.br,https://bancoaurora.com.br/blog/folha-de-pagamento-digital,67,3104,13,folha de pagamento digital,197,2,organic,Folha de pagamento digital - como fazer em 2026,,23,21,both,31,-1
vendamais.com.br,https://vendamais.com.br/blog/comissao-de-vendedor-como-calcular-gratis,67,1676,15,comissao de vendedor como calcular gratis,184,2,organic,Comissao de vendedor como calcular gratis: passo a passo,/Article/How_to,21,12,both,54,8
giroloja.com.br,https://giroloja.com.br/blog/giro-de-estoque,66,167,24,giro de estoque,4959,13,organic,Giro de estoque: passo a passo,,5,0,both,22,19
pagsfera.com.br,https://pagsfera.com.br/blog/pix-saque-simples,65,613,47,pix saque simples,1717,7,organic,Pix saque simples - Pagsfera,,18,7,left,57,-3
lojafacil.com.br,https://lojafacil.com.br/blog/trafego-pago-vale-a-pena-como-funciona,65,1412,39,trafego pago vale a pena como funciona,372,3,organic,Trafego pago vale a pena como funciona | Lojafacil,,20,10,both,15,1
maquinacerta.net,https://maquinacerta.net/blog/aluguel-de-maquininha-2026,63,1441,16,aluguel de maquininha 2026,729,4,organic,O que e Aluguel de maquininha 2026 e como usar,,9,1,both,6,13
financasclaras.blog.br,https://financasclaras.blog.br/calcular-margem-lucro,61,78,23,como calcular margem de lucro,1700,10,organic,Como calcular margem de lucro | Financasclaras,,9,1,both,-4,13
pagsfera.com.br,https://pagsfera.com.br/blog/boleto-registrado-simples,60,1865,36,boleto registrado simples,864,7,organic,Boleto registrado simples - como fazer em 2026,,17,5,left,37,21
contadorexpress.com.br,https://contadorexpress.com.br/blog/markup-ou-margem,59,190,13,markup ou margem,390,3,organic,Markup ou margem: passo a passo,/Article/How_to,20,13,both,-10,4
lojafacil.com.br,https://lojafacil.com.br/blog/programa-de-fidelidade-pequeno-negocio-passo-a,58,2013,47,programa de fidelidade pequeno negocio passo a passo,8812,27,organic,Programa de fidelidade pequeno negocio passo a passo | Lojafacil,,7,0,left,32,9
credlink.com.br,https://credlink.com.br/blog/taxa-de-desconto-de-duplicata,56,3771,35,taxa de desconto de duplicata,745,7,organic,Taxa de desconto de duplicata: guia completo,,16,5,both,49,25
bancoaurora.com.br,https://bancoaurora.com.br/blog/extrato-bancario-pj,55,2254,14,extrato bancario pj,396,4,organic,Extrato bancario pj: 7 dicas praticas,/Article/How_to,9,0,both,21,33
infinitepay.io,https://infinitepay.io/materiais/modelo-de-orcamento,55,497,32,modelo de orcamento,2700,16,organic,Modelo de orcamento | Infinitepay,/Document/Template,17,5,both,45,30
financasclaras.blog.br,https://financasclaras.blog.br/calcular-preco-por-quilo,54,141,21,calcular preco por quilo,540,4,organic,Calcular preco por quilo | Financasclaras,,3,0,both,22,12
pagsfera.com.br,https://pagsfera.com.br/blog/pix-saque,53,1780,52,pix saque,107,1,organic,Pix saque | Pagsfera,/Article/How_to,26,23,both,-8,14
lojafacil.com.br,https://lojafacil.com.br/blog/precificar-artesanato,51,439,29,como precificar produto artesanal,720,6,organic,Como precificar produto artesanal: guia completo,,12,2,both,10,27
giroloja.com.br,https://giroloja.com.br/blog/como-calcular-ponto-de-equilibrio,51,285,39,como calcular ponto de equilibrio,2600,11,organic,Como calcular ponto de equilibrio: guia completo,/Article/How_to,7,0,left,9,8
pagsfera.com.br,https://pagsfera.com.br/blog/limite-pix-noturno-como-funciona,50,1900,59,limite pix noturno como funciona,177,1,organic,Limite pix noturno como funciona - Pagsfera,,20,10,both,28,-2
lojafacil.com.br,https://lojafacil.com.br/blog/trafego-pago-vale-a-pena-simples,50,1127,31,trafego pago vale a pena simples,518,5,organic,Tudo sobre Trafego pago vale a pena simples,/Article/How_to,14,4,left,36,28
contazen.com.br,https://contazen.com.br/blog/mei-aposentadoria-passo-a-passo,49,2023,50,mei aposentadoria passo a passo,5519,13,organic,Mei aposentadoria passo a passo | Contazen,/Article/How_to,15,2,left,25,17
pagsfera.com.br,https://pagsfera.com.br/blog/chargeback-o-que-e-2026,47,546,34,chargeback o que e 2026,363,5,organic,Chargeback o que e 2026: guia completo,,18,7,both,-11,3
vendamais.com.br,https://vendamais.com.br/blog/capital-de-giro-liquido-2026,47,43,22,capital de giro liquido 2026,815,5,organic,Capital de giro liquido 2026 - Vendamais,,16,5,both,41,3
giroloja.com.br,https://giroloja.com.br/blog/rateio-de-custo-indireto,45,364,16,rateio de custo indireto,260,2,organic,O que e Rateio de custo indireto e como usar,,18,9,both,5,30
dinheirocerto.com.br,https://dinheirocerto.com.br/blog/juros-compostos-formula-2026,45,874,17,juros compostos formula 2026,225,4,organic,Juros compostos formula 2026 - Dinheirocerto,,18,10,both,30,-1
vendamais.com.br,https://vendamais.com.br/blog/abandono-de-carrinho,44,1005,28,abandono de carrinho,402,5,organic,Abandono de carrinho: passo a passo,/Article/How_to,20,8,both,34,24
bancoquantum.com.br,https://bancoquantum.com.br/blog/como-sair-do-vermelho-como-funciona,42,1799,6,como sair do vermelho como funciona,3815,13,organic,Como sair do vermelho como funciona: guia completo,/Article/How_to,16,2,both,10,8
infinitepay.io,https://infinitepay.io/materiais/calculadora-cdb,42,218,39,quanto rende cdb,1600,12,organic,O que e Quanto rende cdb e como usar,/Document/Template,16,4,left,-6,4
credlink.com.br,https://credlink.com.br/blog/duplicata-escritural,41,2450,19,duplicata escritural,4947,21,organic,Duplicata escritural: guia completo,/Article/How_to,5,0,both,2,3
bancoaurora.com.br,https://bancoaurora.com.br/blog/pagamento-de-fornecedores,40,1401,55,pagamento de fornecedores,433,5,organic,Pagamento de fornecedores: 7 dicas praticas,/Article/How_to,19,6,both,3,2
contazen.com.br,https://contazen.com.br/blog/irpj-o-que-e-como-funciona,39,1148,39,irpj o que e como funciona,1013,9,organic,Irpj o que e como funciona: passo a passo,,20,10,both,2,0
financasclaras.blog.br,https://financasclaras.blog.br/quanto-cobrar-por-marmita,37,71,39,quanto cobrar por marmita,1400,11,organic,Quanto cobrar por marmita | Financasclaras,,6,0,both,14,19
lojafacil.com.br,https://lojafacil.com.br/blog/como-reajustar-preco-para-clientes,36,306,45,como reajustar preco para clientes,180,4,organic,O que e Como reajustar preco para clientes e como usar,,15,4,both,30,6
contazen.com.br,https://contazen.com.br/blog/diferenca-lucro-real-e-presumido-vale-a-pena,35,809,21,diferenca lucro real e presumido vale a pena,166,2,organic,Diferenca lucro real e presumido vale a pena - Contazen,,26,28,both,-4,-1
dinheirocerto.com.br,https://dinheirocerto.com.br/blog/reserva-de-emergencia-o-que-e,35,468,25,reserva de emergencia o que e,2725,18,organic,Reserva de emergencia o que e - Dinheirocerto,/Article/How_to,14,3,left,14,33
infinitepay.io,https://infinitepay.io/blog/como-fidelizar-clientes,35,257,41,como fidelizar clientes,1800,10,organic,Como fidelizar clientes: 7 dicas praticas,,20,7,both,17,8
bancoaurora.com.br,https://bancoaurora.com.br/blog/cartao-de-debito-empresarial,34,2669,8,cartao de debito empresarial,222,2,organic,Cartao de debito empresarial: passo a passo,,14,2,both,-2,0
giroloja.com.br,https://giroloja.com.br/blog/preco-psicologico,34,179,8,preco psicologico,410,4,organic,Preco psicologico - Giroloja,/Article/How_to,10,2,left,6,23
financasclaras.blog.br,https://financasclaras.blog.br/como-calcular-custo-fixo,33,279,20,como calcular custo fixo,1300,11,organic,Como calcular custo fixo: 7 dicas praticas,,7,1,both,11,2
contadorexpress.com.br,https://contadorexpress.com.br/blog/quanto-cobrar-por-marmita,32,40,45,quanto cobrar por marmita,1400,11,organic,Quanto cobrar por marmita - Contadorexpress,,5,0,both,2,11
lojafacil.com.br,https://lojafacil.com.br/blog/dropshipping-como-funciona-passo-a-passo,32,876,37,dropshipping como funciona passo a passo,106,2,organic,Dropshipping como funciona passo a passo - Lojafacil,/Article/How_to,18,9,both,23,32
vendamais.com.br,https://vendamais.com.br/materiais/planilha-de-precificacao,31,432,7,planilha de precificacao,590,7,organic,Planilha de precificacao: 7 dicas praticas,/Document/Template,20,11,both,26,34
credlink.com.br,https://credlink.com.br/blog/cessao-de-credito,30,716,14,cessao de credito,422,5,organic,Tudo sobre Cessao de credito,/Article/How_to,11,2,left,7,-4
pagsfera.com.br,https://pagsfera.com.br/blog/cartao-empresarial-gratis,30,365,26,cartao empresarial gratis,613,7,organic,Cartao empresarial gratis - como fazer em 2026,,16,4,both,-2,13
financasclaras.blog.br,https://financasclaras.blog.br/como-saber-se-estou-vendendo-barato,29,54,30,como saber se estou vendendo barato,210,3,organic,O que e Como saber se estou vendendo barato e como usar,,14,4,left,0,3
bancoquantum.com.br,https://bancoquantum.com.br/blog/chave-pix-aleatoria-como-funciona,28,584,25,chave pix aleatoria como funciona,204,5,organic,O que e Chave pix aleatoria como funciona e como usar,/Article/How_to,16,3,left,-2,32
financasclaras.blog.br,https://financasclaras.blog.br/precificar-servico,26,434,23,precificacao de servicos,1200,12,organic,Tudo sobre Precificacao de servicos,,3,0,both,-1,17
bancoaurora.com.br,https://bancoaurora.com.br/blog/financiamento-de-equipamentos,25,1276,23,financiamento de equipamentos,5101,21,organic,Financiamento de equipamentos: passo a passo,/Article/How_to,13,2,both,0,10
maquinacerta.net,https://maquinacerta.net/blog/aluguel-de-maquininha-simples,23,89,26,aluguel de maquininha simples,271,4,organic,O que e Aluguel de maquininha simples e como usar,/Article/How_to,3,0,both,3,-9
financasclaras.blog.br,https://financasclaras.blog.br/markup-x-margem,22,72,53,markup ou margem,390,6,organic,Markup ou margem | Financasclaras,,9,1,both,8,29
